country,city,longitude,latitude
Hungary,Miskolc,20.7644305,48.081286
France,Flers,-0.5692441,48.7438842
France,Saint-Fargeau-Ponthierry,2.5096455,48.5267938
France,Nîmes,4.3662321,43.8324929
Ireland,Tralee,-7.0833118,52.2413206
Bulgaria,Dve Mogili,25.9323591,43.5592985
Ireland,Portumna,-8.2215941,53.0917381
Germany,Dortmund,7.4091222,51.5353894
Greece,Vasilikón,23.6720959,38.4251725
France,Quimper,-4.1116493,47.9894676
France,Poligny,-0.705495,48.0395425
Greece,Mikrókampos,22.7755938,40.8403439
France,Rennes,-1.7128603,48.1164447
Croatia,Bošnjaci,18.7972,45.0432878
France,Issoudun,1.9894311,46.9483051
Greece,Elassóna,22.1890872,39.8949802
France,Toulouse,1.450373,43.6151225
Spain,Murcia,-1.1424989,37.970285
Greece,Pentaplátano,22.4188383,40.8195312
France,Orléans,2.8002946,47.3591366
France,Laxou,6.1519039,48.6853182
France,Nice,6.9855112,44.0678168
Croatia,Posedarje,15.4790862,44.2120433
Spain,Palma De Mallorca,2.631838,39.6343248
Ireland,Swords,-6.2071246,53.4562426
France,Maubeuge,3.9727365,50.2748915
France,Le Mans,0.1924459,47.9956173
Bulgaria,Gorna Oryakhovitsa,25.5508839,41.9250632
Bulgaria,Sŭedinenie,24.55,42.26667
Germany,Braunschweig,10.5390217,52.2802311
Greece,Varnávas,23.9232894,38.2238615
France,Avon,2.5130988,48.9741782
France,Kingersheim,7.3372459,47.8060989
Croatia,Ivanec,16.1246793,46.2228422
Croatia,Labin,14.1238049,45.091589
Germany,Hamburg,9.9641759,53.5511779
Greece,Drosáto,22.8015705,41.1670464
Germany,Nürnberg,11.0986834,49.4904742
Germany,Bochum,7.1597986,51.4492114
Ireland,Clondalkin,-6.4496384,53.3582341
Croatia,Virovitica,17.3855429,45.8316463
France,Romans-sur-Isère,5.0682113,45.0478491
Greece,Kyllíni,21.1449975,37.9346907
Greece,Vrýses,24.2012676,35.3750852
Ireland,Mallow,-8.642661,52.1361219
France,Sophia Antipolis,7.0430136,43.6264177
Hungary,Pécs,18.2440979,46.0382687
Croatia,Cernik,14.5032137,45.3481651
France,Rive-de-Gier,4.6192695,45.5294991
Greece,Pyrgetós,22.595535,39.9179113
Italy,Verona,11.0332618,45.4934392
France,Roubaix,3.1685214,50.7022235
France,Paris 08,5.8978018,43.4945737
United Kingdom,Ford,-1.875716,51.962948
France,Royan,-0.4198187,45.5733817
United Kingdom,Newbiggin,-2.0871107,54.9418362
Greece,Elaiochóri,24.2429692,40.8207633
France,Roissy Charles-de-Gaulle,2.5479245,49.0096906
Greece,Géfyra,22.6920826,40.7325414
France,Nîmes,4.3520438,43.8447278
Bulgaria,Dulovo,27.2163113,43.7624891
France,Lille,2.0308233,44.1675867
France,Roissy Charles-de-Gaulle,2.5479245,49.0096906
Croatia,Radoboj,15.9296045,46.1629456
Spain,Vigo,-8.6848147,42.2390986
